,x,y,Infection label,Movement Rate,Infection Rate,Mutation,Susceptibility
0,0.1319796745000703,3.414257640079004,0,0.1,0.0,0,1
1,4.138427097789278,4.493485142185795,2,0.08,1.5,2,0
2,1.4868370385980627,5.025261581002582,0,0.1,0.0,0,1
3,5.601056540088147,4.24576158124303,0,0.1,0.0,0,1
4,3.8680618971690666,1.406097758896038,0,0.1,0.0,0,1
5,3.0599312778530097,4.672168105208739,1,0.08,1.5,2,1
6,1.381906807289745,4.782424938699406,0,0.1,0.0,0,1
7,4.588359201335953,3.3143326107111983,0,0.1,0.0,0,1
8,5.836951064186135,4.598847867447291,0,0.1,0.0,0,1
9,5.198007421835953,1.9745310584516749,0,0.1,0.0,0,1
10,0.36839426611317005,2.23063872368341,0,0.1,0.0,0,1
11,0.3057235252902115,5.253415472657486,0,0.1,0.0,0,1
12,3.511100744437869,5.581823125060874,0,0.1,0.0,0,1
13,1.6507601097497784,3.6172368152845236,0,0.1,0.0,0,1
14,4.679536089421917,1.2794656871889645,0,0.1,0.0,0,1
15,5.676806667530436,5.461819493172412,0,0.1,0.0,0,1
16,3.7363667840810573,2.883256927698441,0,0.1,0.0,0,1
17,1.84627067318178,1.788971385235854,0,0.1,0.0,0,1
18,2.9591364702478407,1.1373373806098128,0,0.1,0.0,0,1
19,2.4077916947132776,1.202928727923333,0,0.1,0.0,0,1
20,3.9273438743534586,2.845665744388909,0,0.1,0.0,0,1
21,4.923020366273798,4.700660568359869,0,0.1,0.0,0,1
22,1.8096933403971114,0.7231308009520658,0,0.1,0.0,0,1
23,2.901708657509676,0.017470829366803775,0,0.1,0.0,0,1
24,2.8162361176211483,0.47820590310448186,0,0.1,0.0,0,1
25,2.660758060943892,2.367452035738566,0,0.1,0.0,0,1
26,4.747666444601512,5.055141570143843,1,0.08,1.0,1,1
27,1.6869238811342755,0.3923870312783748,0,0.1,0.0,0,1
28,5.287105910540275,0.6998781244395844,0,0.1,0.0,0,1
29,4.25170287368046,4.943740215266937,1,0.08,1.0,1,1
30,2.5590589308535496,4.253596807592503,0,0.1,0.0,0,1
31,2.6833075808869338,3.6127157982587654,0,0.1,0.0,0,1
32,4.375009387015144,5.294807410691414,1,0.08,1.0,1,1
33,1.9188735550698135,0.6865503724891309,0,0.1,0.0,0,1
34,5.6402236628783715,5.215220103375444,0,0.1,0.0,0,1
35,3.983263666283708,2.130124058201786,0,0.1,0.0,0,1
36,0.17871527151952926,4.689199619065501,0,0.1,0.0,0,1
37,3.5111800808022,3.052170055187109,0,0.1,0.0,0,1
38,5.943976262990468,1.5020734854891056,0,0.1,0.0,0,1
39,5.040258649275825,1.532409767004748,0,0.1,0.0,0,1
40,0.0015611178592254138,0.7921407230825601,0,0.1,0.0,0,1
41,0.965360219749025,5.186178612271943,0,0.1,0.0,0,1
42,4.05933878344229,2.7103099772603327,0,0.1,0.0,0,1
43,0.4478832547792433,2.7552863045978393,0,0.1,0.0,0,1
44,3.3339160340860516,5.095829413058785,0,0.1,0.0,0,1
45,2.9796929100475493,3.556949899374019,1,0.08,1.5,2,1
46,3.05000905425431,5.9448835675419796,0,0.1,0.0,0,1
47,4.836702770928882,0.7746660855985075,0,0.1,0.0,0,1
48,5.30138136482851,5.769302527534134,0,0.1,0.0,0,1
49,3.107808197028561,4.912804243970614,0,0.1,0.0,0,1
50,5.08248618135418,0.7982654132399887,0,0.1,0.0,0,1
51,3.37299507763041,1.2877459652470473,0,0.1,0.0,0,1
52,4.8464789000821575,2.639456618588037,0,0.1,0.0,0,1
53,4.199800151681806,1.1749154836217726,0,0.1,0.0,0,1
54,0.3212277211440948,0.7771112348719824,0,0.1,0.0,0,1
55,4.884598279704944,0.34944023468129815,0,0.1,0.0,0,1
56,3.010356082133879,4.194778486225831,1,0.08,1.5,2,1
57,1.6632495088130466,4.0576636461786215,0,0.1,0.0,0,1
58,4.255585558732041,0.022394185558882285,0,0.1,0.0,0,1
59,0.18329351722643716,3.068670397499858,0,0.1,0.0,0,1
60,2.182280799539984,3.6215812295172896,0,0.1,0.0,0,1
61,5.409388093856184,2.9238661482282153,0,0.1,0.0,0,1
62,2.458221254641975,2.9340871523120304,0,0.1,0.0,0,1
63,1.2482667132457141,0.9521111691642226,0,0.1,0.0,0,1
64,3.3847898637541856,4.763476067862984,1,0.08,1.5,2,1
65,2.299396557883792,4.33818873404853,1,0.08,1.0,1,1
66,0.5507057800756847,5.233683838217448,0,0.1,0.0,0,1
67,0.1572350332702075,4.520153563185646,0,0.1,0.0,0,1
68,2.4809793329185235,0.019222996916907986,0,0.1,0.0,0,1
69,3.1510876025825025,3.899392087984375,1,0.08,1.5,2,1
70,3.4725586294721977,4.517374585966499,1,0.08,1.5,2,1
71,0.047475453318427396,1.4039008292075852,0,0.1,0.0,0,1
72,2.6485362367048495,1.196783151234761,0,0.1,0.0,0,1
73,3.5458265865524448,3.830913477324415,1,0.08,1.5,2,1
74,3.4635980452575343,3.2820135130300896,0,0.1,0.0,0,1
75,4.518749332867904,5.509158466645282,1,0.08,1.0,1,0
76,0.9253884537733492,3.671506604924843,0,0.1,0.0,0,1
77,5.396492977446327,3.2047783330119817,0,0.1,0.0,0,1
78,2.491114595863476,1.3916189156200423,0,0.1,0.0,0,1
79,4.754510542417683,3.264847727003895,0,0.1,0.0,0,1
80,4.552710484583319,3.0272522754594897,0,0.1,0.0,0,1
81,5.178021282287168,2.5861883634316882,0,0.1,0.0,0,1
82,2.3525124040934955,4.340385955520232,0,0.1,0.0,0,1
83,4.529793583560527,4.34614888743784,1,0.08,1.0,1,1
84,2.214974060710081,4.117319156938517,0,0.1,0.0,0,1
85,3.878252482475538,5.772339819749026,1,0.08,1.0,1,1
86,2.783749795613003,3.1272628527242476,0,0.1,0.0,0,1
87,2.866304085094193,3.312489238468748,0,0.1,0.0,0,1
88,1.7036546748701882,3.372971005394973,0,0.1,0.0,0,1
89,4.460058258163752,2.595739502470549,0,0.1,0.0,0,1
90,3.470008738533321,2.547258508751206,0,0.1,0.0,0,1
91,3.9217668327969677,1.3611252072226945,0,0.1,0.0,0,1
92,2.5268125142686104,4.589770104801752,0,0.1,0.0,0,1
93,4.775868712659481,3.4068714195285876,0,0.1,0.0,0,1
94,5.81953457083009,1.7614552087328845,0,0.1,0.0,0,1
95,5.43750775769613,4.520775816480758,0,0.1,0.0,0,1
96,4.846223264294284,0.44879613160167486,0,0.1,0.0,0,1
97,2.6017622340474125,4.814096923680193,0,0.1,0.0,0,1
98,1.7419557886609276,4.993236619352427,0,0.1,0.0,0,1
99,0.3140864741582281,1.0047359299362941,0,0.1,0.0,0,1
100,4.631588075597286,1.6615795073443997,0,0.1,0.0,0,1
101,2.97752629554373,4.940973693896283,0,0.1,0.0,0,1
102,4.080129474942455,4.242958903670809,1,0.08,1.5,2,1
103,1.7560802047713202,4.2955150727291365,0,0.1,0.0,0,1
104,4.8552073613201845,3.5074157984860794,0,0.1,0.0,0,1
105,3.7774025921394143,1.5867548362525392,0,0.1,0.0,0,1
106,3.3995666611845183,0.006836935100160257,0,0.1,0.0,0,1
107,5.298516355494039,0.09157101853747207,0,0.1,0.0,0,1
108,0.6169544132610509,3.629565999124842,0,0.1,0.0,0,1
109,3.3121324539521173,4.625717583427195,1,0.08,1.5,2,1
110,0.8411242786462747,0.4687448883614156,0,0.1,0.0,0,1
111,4.805363238681145,4.9882209931152985,1,0.08,1.0,1,0
112,3.468347441115152,5.694487475381213,0,0.1,0.0,0,1
113,3.9409023032138792,1.734536952342123,0,0.1,0.0,0,1
114,2.369593677809553,1.6039549302246967,0,0.1,0.0,0,1
115,0.6141364024005409,0.23858676688809344,0,0.1,0.0,0,1
116,4.861227481050056,3.4314996756055276,0,0.1,0.0,0,1
117,4.111518653353983,0.5458626478208188,0,0.1,0.0,0,1
118,2.5001166337885055,5.867060162790989,0,0.1,0.0,0,1
119,3.6146516007930374,2.054876403384502,0,0.1,0.0,0,1
120,3.2340188660196034,4.547934082504181,1,0.08,1.5,2,1
121,5.96683438191523,1.9497139555912424,0,0.1,0.0,0,1
122,4.178320485418248,1.611512247197751,0,0.1,0.0,0,1
123,2.1766256438851315,3.906978986004197,0,0.1,0.0,0,1
124,5.697931238812775,2.2830210149882273,0,0.1,0.0,0,1
125,3.9911454089726814,2.0801602577268543,0,0.1,0.0,0,1
126,3.2680060533248665,1.9129069262935992,0,0.1,0.0,0,1
127,5.370508515613928,4.125546720574088,0,0.1,0.0,0,1
128,3.6375809663135508,2.909628260991381,0,0.1,0.0,0,1
129,2.606860108726833,1.2386639064127292,0,0.1,0.0,0,1
130,2.565910415994516,2.0741397789676155,0,0.1,0.0,0,1
131,4.0061117246049776,4.084525214898358,1,0.08,1.0,1,1
132,4.87631672753926,1.920356188608447,1,0.08,1.0,1,0
133,2.691661100423234,3.7009879074193455,0,0.1,0.0,0,1
134,4.399691975371788,5.290890280316848,2,0.08,1.0,1,0
135,2.6670622294198294,3.648940451658424,0,0.1,0.0,0,1
136,1.8880636871995733,0.5597162948966943,0,0.1,0.0,0,1
137,4.297878364352894,4.019289420222342,1,0.08,1.0,1,1
138,5.297444008893032,4.223121325429811,0,0.1,0.0,0,1
139,3.914640543141041,1.3356620973946025,0,0.1,0.0,0,1
140,2.741354549674103,2.303209013284575,0,0.1,0.0,0,1
141,1.272556189627478,2.0504480716623554,0,0.1,0.0,0,1
142,5.66309512622866,2.737416354070399,0,0.1,0.0,0,1
143,5.677286989184793,5.538507466603598,0,0.1,0.0,0,1
144,5.966568896092154,1.2656408643302155,0,0.1,0.0,0,1
145,3.4605945178572974,0.47565825576769805,0,0.1,0.0,0,1
146,4.053418530797722,3.9394397151504634,0,0.1,0.0,0,1
147,5.419020532229133,2.245358456488676,0,0.1,0.0,0,1
148,3.8107886741188075,3.421228344066497,0,0.1,0.0,0,1
149,3.054199793948645,0.5802576071093741,0,0.1,0.0,0,1
150,4.42562331498043,0.6835716431485777,0,0.1,0.0,0,1
151,4.707289833335155,4.014093416310304,1,0.08,1.0,1,1
152,0.350839553014878,5.87708464975392,0,0.1,0.0,0,1
153,1.8511238860278596,5.946789744056196,0,0.1,0.0,0,1
154,1.2980321377204045,3.747050982686942,0,0.1,0.0,0,1
155,1.25428303701546,5.533083970886812,0,0.1,0.0,0,1
156,1.21943625955026,1.6328047944440904,0,0.1,0.0,0,1
157,4.47786301808557,3.2023615020993197,0,0.1,0.0,0,1
158,4.603199045277714,0.8402173973947062,0,0.1,0.0,0,1
159,3.2743305277580133,5.277974294582503,0,0.1,0.0,0,1
160,5.322884360075307,2.126845166351594,0,0.1,0.0,0,1
161,4.790606968666086,1.578372246522208,0,0.1,0.0,0,1
162,2.176215717815851,1.6943700184796628,0,0.1,0.0,0,1
163,3.1390140872251178,5.443933435659838,0,0.1,0.0,0,1
164,3.9763503567818272,4.681770674086822,2,0.08,1.5,2,0
165,3.5246966116803686,0.7838917441368558,0,0.1,0.0,0,1
166,5.889011800835793,5.453453636494305,0,0.1,0.0,0,1
167,2.663235003714804,0.7839322258899835,0,0.1,0.0,0,1
168,1.1439783525492206,1.6427769164557149,0,0.1,0.0,0,1
169,5.059859812452228,4.673193940983183,0,0.1,0.0,0,1
170,2.1300011231726335,4.265938042618954,1,0.08,1.0,1,1
171,5.786752753805824,5.742523580846424,0,0.1,0.0,0,1
172,4.16415327227202,4.7704237930231,1,0.08,1.0,1,1
173,0.00742834139784776,3.7941259042890474,0,0.1,0.0,0,1
174,2.366524700456412,2.566999891502954,0,0.1,0.0,0,1
175,0.2261304125306529,3.6441151972353296,0,0.1,0.0,0,1
176,3.215111342613356,5.707112724179589,0,0.1,0.0,0,1
177,3.3375026038905813,0.8954131040912194,0,0.1,0.0,0,1
178,4.877479818725604,2.4040052918867705,0,0.1,0.0,0,1
179,0.5572865439172852,4.37669742171216,0,0.1,0.0,0,1
180,4.342876281675626,3.615260065856992,0,0.1,0.0,0,1
181,2.8823279224128386,3.934267303178205,1,0.08,1.5,2,1
182,0.7995249653541086,0.37513950419300146,0,0.1,0.0,0,1
183,4.0853537474477,4.974588576831856,1,0.08,1.0,1,1
184,2.8711946339082806,5.235332680552466,0,0.1,0.0,0,1
185,4.309253738413192,4.796480821051863,1,0.08,1.0,1,1
186,2.8288761780350944,0.1423337454494411,0,0.1,0.0,0,1
187,1.015923815556844,4.007702541168342,0,0.1,0.0,0,1
188,4.457863784702158,0.4568245447112278,0,0.1,0.0,0,1
189,1.2830270422468943,5.0772798712057,0,0.1,0.0,0,1
190,0.4462247587918815,4.889789953579771,0,0.1,0.0,0,1
191,2.964028082512891,4.966283312112225,0,0.1,0.0,0,1
192,1.1830173415335368,1.6483209832105687,0,0.1,0.0,0,1
193,2.9108009241683934,0.2619115988691836,0,0.1,0.0,0,1
194,5.176043092965369,0.23309025677048845,0,0.1,0.0,0,1
195,1.3592714077757246,4.563266753881383,0,0.1,0.0,0,1
196,4.410753570269716,2.3065598838403947,0,0.1,0.0,0,1
197,1.964289879744284,1.980967327628506,0,0.1,0.0,0,1
198,1.6599593237013077,3.7440519550124733,0,0.1,0.0,0,1
199,0.48107531783817925,4.071433498733936,0,0.1,0.0,0,1
200,0.2571647983878571,0.9315919875275611,0,0.1,0.0,0,1
201,3.8329574498473815,2.6031585486360918,0,0.1,0.0,0,1
202,1.4963455106361034,4.298678134323681,0,0.1,0.0,0,1
203,4.331949712039505,4.50910481176888,1,0.08,1.0,1,1
204,3.682175167261703,3.8177382885835884,0,0.1,0.0,0,1
205,4.069458658000041,2.413908820651188,0,0.1,0.0,0,1
206,2.390865408662062,0.07414821785271575,0,0.1,0.0,0,1
207,1.8679532817409255,1.8942367988254514,0,0.1,0.0,0,1
208,0.0885773044877074,5.181800713395402,0,0.1,0.0,0,1
209,3.3680261522001316,1.63131479428228,0,0.1,0.0,0,1
210,2.810569603204143,2.3758166666347744,0,0.1,0.0,0,1
211,1.6308378357389495,2.1189529820326243,0,0.1,0.0,0,1
212,4.487807068401567,1.8403433262630844,0,0.1,0.0,0,1
213,0.2640904075976651,1.6965016946735971,0,0.1,0.0,0,1
214,2.4353801266905464,5.025410660263219,0,0.1,0.0,0,1
215,3.6232733713556464,3.854747939530821,1,0.08,1.5,2,1
216,3.472409095840197,2.4865837401965196,0,0.1,0.0,0,1
217,1.7970941268534408,3.4739093146284787,0,0.1,0.0,0,1
218,2.835706074144369,2.309140151902544,0,0.1,0.0,0,1
219,1.8649582751553484,0.8929394941727951,0,0.1,0.0,0,1
220,0.7603650629099372,0.17041368951483293,0,0.1,0.0,0,1
221,3.153634357783744,3.2979174087278134,0,0.1,0.0,0,1
222,2.744999029893104,5.054811263085519,0,0.1,0.0,0,1
223,2.42245784351305,0.5956549867203167,0,0.1,0.0,0,1
224,1.4441331910782054,3.8057229130981693,0,0.1,0.0,0,1
225,2.647272156682493,4.165658886709148,1,0.08,1.0,1,1
226,4.451536903096373,5.470824374992846,1,0.08,1.0,1,1
227,3.7029743762635263,5.839869525320989,0,0.1,0.0,0,1
228,0.2972547476175287,1.5789945302442703,0,0.1,0.0,0,1
229,4.395861051785177,4.588720570178024,1,0.08,1.0,1,1
230,1.045209583972212,2.4013043811246053,0,0.1,0.0,0,1
231,1.455959247074336,2.1735158705621593,0,0.1,0.0,0,1
232,2.2082484898068984,5.418893660339341,0,0.1,0.0,0,1
233,2.7959101512108315,5.207940110844609,0,0.1,0.0,0,1
234,0.11791712197136572,5.320350479045308,0,0.1,0.0,0,1
235,1.2944257697734172,5.177791945326469,0,0.1,0.0,0,1
236,0.5982021901531389,0.8980458919963308,0,0.1,0.0,0,1
237,0.8569443261837371,3.1424681957061003,0,0.1,0.0,0,1
238,3.9035212289001073,4.349902774080695,1,0.08,1.5,2,1
239,4.9574445058336,3.0310716862049816,0,0.1,0.0,0,1
240,1.228855711868521,0.8920215817226653,0,0.1,0.0,0,1
241,3.592706193753248,4.0868014802683845,1,0.08,1.5,2,1
242,5.348015703730132,4.263343871547836,0,0.1,0.0,0,1
243,3.5732558294556522,1.6875796683616318,0,0.1,0.0,0,1
244,2.4896265375116142,0.8786812128237798,0,0.1,0.0,0,1
245,3.6433371942392965,4.139104550878285,2,0.08,1.5,2,0
246,5.4394168242806895,3.553176745716215,0,0.1,0.0,0,1
247,0.026565240809974133,2.8338773506748263,0,0.1,0.0,0,1
248,2.2960818172028956,2.256471178892288,0,0.1,0.0,0,1
249,5.318570487567319,3.1627144032410652,0,0.1,0.0,0,1
250,1.5323600945378824,3.5343977490083702,0,0.1,0.0,0,1
251,3.6529793540028,2.0730220902930565,0,0.1,0.0,0,1
252,1.2393671425996382,3.786821613211086,0,0.1,0.0,0,1
253,2.873733020000693,0.3180061654021771,0,0.1,0.0,0,1
254,2.6960932118243406,5.238433093529014,0,0.1,0.0,0,1
255,0.5199188634196203,4.811707122202006,0,0.1,0.0,0,1
256,0.15209447748810878,1.1196143029034729,0,0.1,0.0,0,1
257,0.8329687580416365,5.307744862057405,0,0.1,0.0,0,1
258,1.0973883106757711,5.799153411635538,0,0.1,0.0,0,1
259,3.7683901129379316,5.388583395236561,1,0.08,1.0,1,1
260,1.6378759210711094,4.596568399797119,0,0.1,0.0,0,1
261,0.381180196627698,3.6783357967888763,0,0.1,0.0,0,1
262,0.3277321334961052,2.8241607928292787,0,0.1,0.0,0,1
263,2.522168366692546,5.266155262162234,0,0.1,0.0,0,1
264,4.32892167894383,0.8630506520720302,0,0.1,0.0,0,1
265,0.45047738381693336,0.4617079758739657,0,0.1,0.0,0,1
266,0.9138773446591686,3.809269036407674,0,0.1,0.0,0,1
267,0.4654593388653827,2.0189121501062255,0,0.1,0.0,0,1
268,1.7590622111776528,5.713369469901719,0,0.1,0.0,0,1
269,1.6871169767093224,4.092345832543494,0,0.1,0.0,0,1
270,4.149529964917522,2.922384360459774,0,0.1,0.0,0,1
271,4.440130505762751,1.5531966224149012,0,0.1,0.0,0,1
272,3.178454086969208,5.1269141027856895,0,0.1,0.0,0,1
273,0.11531792389896234,2.903682082520219,0,0.1,0.0,0,1
274,4.526246960708746,5.088041143608804,1,0.08,1.0,1,1
275,4.867983459455267,5.9364978340183585,0,0.1,0.0,0,1
276,4.1451278887728105,4.536118731099457,1,0.08,1.5,2,1
277,1.5811602663731663,1.1396468307647578,0,0.1,0.0,0,1
278,1.951697317440132,1.9776898763310429,0,0.1,0.0,0,1
279,2.759337433785159,4.161805254248465,1,0.08,1.5,2,1
280,5.739036235679364,2.6889134685454072,0,0.1,0.0,0,1
281,0.8632361340262027,0.17399650018465396,0,0.1,0.0,0,1
282,4.940880418818136,3.368559316672714,0,0.1,0.0,0,1
283,3.6437017919932986,1.3169496627557586,0,0.1,0.0,0,1
284,0.02572700023896979,3.640869940877658,0,0.1,0.0,0,1
285,2.5057417180623496,2.6107935255553185,0,0.1,0.0,0,1
286,5.467706355543025,3.838464631381756,0,0.1,0.0,0,1
287,0.5558031045421901,0.7354744057367035,0,0.1,0.0,0,1
288,3.0943677537820085,2.441849595255709,0,0.1,0.0,0,1
289,0.19340583842057302,5.641310006577807,0,0.1,0.0,0,1
290,5.854907272961286,4.276879928980035,0,0.1,0.0,0,1
291,3.774450795308346,5.899768459071585,0,0.1,0.0,0,1
292,3.400944863340417,2.9561666297071776,0,0.1,0.0,0,1
293,4.01141654756754,5.538541592039799,1,0.08,1.0,1,1
294,2.9896462289291246,2.5247933937604694,0,0.1,0.0,0,1
295,2.0274200751435023,3.7818331212190865,0,0.1,0.0,0,1
296,4.250662300241499,3.959306536519873,0,0.1,0.0,0,1
297,2.8203326035431395,4.834752480937871,0,0.1,0.0,0,1
298,1.3066095053614453,1.9301222463996404,0,0.1,0.0,0,1
299,4.5662830384498205,5.377347960351175,1,0.08,1.0,1,1
300,1.758261107639496,3.9332051862937814,0,0.1,0.0,0,1
301,5.375961656918214,4.995376404903459,0,0.1,0.0,0,1
302,2.781139097353009,2.6530591871352023,0,0.1,0.0,0,1
303,5.356575072086533,5.637411457789687,0,0.1,0.0,0,1
304,2.554010846085216,0.42760183327609913,0,0.1,0.0,0,1
305,2.285557107887429,1.9420785032545735,0,0.1,0.0,0,1
306,1.3627512523393883,0.6805200766466808,0,0.1,0.0,0,1
307,0.36001651003682733,2.7183459441253506,0,0.1,0.0,0,1
308,5.884485732878064,5.507385442969602,0,0.1,0.0,0,1
309,2.7276786761530225,1.4266599384998262,1,0.08,1.0,1,0
310,5.600145043600258,0.2535932914476997,0,0.1,0.0,0,1
311,5.953885089230575,0.45251756336300675,0,0.1,0.0,0,1
312,1.703499562887181,5.565753208315288,0,0.1,0.0,0,1
313,5.85467465280598,2.5072396676461395,0,0.1,0.0,0,1
314,3.2663939712425494,4.140011802192026,1,0.08,1.5,2,1
315,5.855832900281229,2.515452672960323,0,0.1,0.0,0,1
316,4.132068787615327,5.718140540579352,1,0.08,1.0,1,1
317,4.099009033632666,4.9749939548963065,2,0.08,1.0,1,0
318,1.3502681131148522,2.867973926601218,0,0.1,0.0,0,1
319,1.9779244356187584,4.905047974883109,0,0.1,0.0,0,1
320,3.083143502152472,4.670180296373024,1,0.08,1.5,2,1
321,3.1290368737065544,2.6408757776586436,0,0.1,0.0,0,1
322,1.5287487732371852,1.3290542433655814,0,0.1,0.0,0,1
323,4.0997221070854994,3.126343951189691,0,0.1,0.0,0,1
324,1.1938115673296612,2.0190728085725773,0,0.1,0.0,0,1
325,4.675767659277178,5.129323963274956,1,0.08,1.0,1,1
326,4.201839980116694,4.736872201171087,1,0.08,1.0,1,1
327,1.0399041393129984,0.3023701928808691,0,0.1,0.0,0,1
328,0.7748660021190101,0.6454737131090909,0,0.1,0.0,0,1
329,2.517782524476665,5.727016965515926,0,0.1,0.0,0,1
330,5.002030368987173,1.9984125202189873,0,0.1,0.0,0,1
331,5.408177932539802,5.406134162333851,0,0.1,0.0,0,1
332,5.802012458107058,5.424631612443186,0,0.1,0.0,0,1
